_id,Gaia_EDR3___id,AllWISE___id,PS1_DR1___id,ra,dec,period,field,ccd,quad,filter,sin_dnn,rscvn_dnn,emsms_dnn,ea_dnn,rrlyr_dnn,el_dnn,saw_dnn,bogus_dnn,wuma_dnn,e_dnn,yso_dnn,ceph_dnn,cv_dnn,srv_dnn,fla_dnn,blyr_dnn,wp_dnn,eb_dnn,blher_dnn,hp_dnn,ext_dnn,dip_dnn,rrab_dnn,vnv_dnn,pnp_dnn,wvir_dnn,dp_dnn,bright_dnn,ceph2_dnn,dscu_dnn,bis_dnn,osarg_dnn,rrblz_dnn,i_dnn,puls_dnn,mp_dnn,rrc_dnn,mir_dnn,agn_dnn,longt_dnn,blend_dnn,ew_dnn,lpv_dnn,rrd_dnn,rrd_xgb,wvir_xgb,dp_xgb,blher_xgb,lpv_xgb,agn_xgb,dscu_xgb,puls_xgb,rrc_xgb,mir_xgb,e_xgb,rscvn_xgb,rrlyr_xgb,bis_xgb,emsms_xgb,mp_xgb,ew_xgb,bogus_xgb,ea_xgb,vnv_xgb,pnp_xgb,longt_xgb,dip_xgb,cv_xgb,blend_xgb,ext_xgb,wuma_xgb,srv_xgb,fla_xgb,bright_xgb,el_xgb,ceph_xgb,eb_xgb,wp_xgb,hp_xgb,i_xgb,blyr_xgb,yso_xgb,saw_xgb,ceph2_xgb,rrab_xgb,sin_xgb,osarg_xgb,rrblz_xgb
10296623000665,2372667821257049472,124013701351008000,90890121360619936,12.136068499999991,-14.2504198,0.0254100189888367,296,16,3,3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.94,0.96,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296472001867,2371230793918878464,141016701351043296,88460137751506416,13.77517929999999,-16.2782699,0.0219255387294915,296,12,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.08,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296412002674,2371577316176366720,140015201351018944,89380141997829536,14.199802000000004,-15.5089745,0.0217403570819244,296,11,2,2,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296421000031,2371269074964154624,141016701351061920,88670139661883152,13.966183900000004,-16.1059625,0.1997873721659669,296,11,3,1,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.54,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.89,0.82,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.02,0.0,0.0,0.0,0.23,0.0,0.01,0.0,0.33
10296142002611,0,128019701351008720,83740125498963952,12.549888899999983,-20.2136562,0.1380392194113708,296,4,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.18,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.07,0.05,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296222010944,0,158018201351027328,86230165830480064,16.583130600000004,-18.1417892,0.0245140450227945,296,6,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.27,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.03,0.8,0.56,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.02,0.0,0.33
10296491009585,2468129589739713536,0,91820177857582448,17.785767899999996,-13.4817598,0.1456934361080946,296,13,2,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.44,0.26,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.93,0.94,0.0,0.0,0.0,0.29,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296602003802,2372919544995850240,139013701351016720,91400137803737088,13.780437799999987,-13.8277239,0.0744435466621079,296,16,1,2,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.16,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.26,0.15,0.01,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296333010563,2359510004262965504,187015201351009888,89100180872776368,18.087249600000007,-15.7450059,0.0276433386173614,296,9,2,3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.02,0.98,0.98,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296362008077,0,172015201351002848,88960174296289152,17.430071400000003,-15.8596529,290.6381491227729,296,10,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.13,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.01,0.29,0.55,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.03,0.57,0.26,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.01,0.24,0.0,0.02,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296412001115,2371603051620430848,140015201351022048,89570144231605856,14.42317829999999,-15.3537378,0.0728996365220407,296,11,2,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.14,0.06,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296472010214,0,125016701351048736,88440129099775600,12.909883799999989,-16.2956112,0.0713243623744847,296,12,4,2,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.02,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.29,0.15,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.12,0.0,0.0,0.0,0.17,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.78,0.71,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296591013395,0,156015201351043008,90150152876064608,15.287722900000006,-14.8714651,0.0253588782400138,296,15,4,1,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.65,0.85,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.21,0.0,0.0,0.09,0.0,0.0,0.1,0.01,0.03,0.41,0.41,0.0,0.0,0.0,0.29,0.0,0.02,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.01,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296402000251,2371748870054374400,0,89680156959321856,15.695897000000002,-15.2653531,0.0540999255432383,296,11,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.3,0.22,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296083013789,2356344196752833920,144019701351055600,84980150624126416,15.062412899999998,-19.178262,0.0671423527266021,296,3,1,3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.94,0.97,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296332007904,2358740174324438272,188016701351059488,88810183820281712,18.38213590000001,-15.9905197,0.2359244136202246,296,9,2,2,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.15,0.04,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296532004589,2372178027482715520,155013701351023808,91380160226122352,16.022630700000008,-13.8483468,0.0238192774324068,296,14,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.12,0.11,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296032006156,0,192019701351019328,84100191303164032,19.13040000000001,-19.9135708,0.0224508564226611,296,1,4,2,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.35,0.42,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296272005746,2356483216254468096,158018201351017056,85630156045234416,15.60457980000001,-18.6383247,0.0211683194011815,296,7,4,2,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.02,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
10296261002728,2357189240158234624,142018201351018912,85750142988119120,14.298853100000002,-18.5343794,0.1243599911420104,296,7,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.47,0.75,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.03,0.0,0.0,0.03,0.01,0.04,0.26,0.32,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.23,0.0,0.01,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.33
