ra,dec
73.3173,56.2109
319.7585,18.0778
322.1229,31.8778
291.5568,-17.1889
63.0168,47.5796
5.2228,12.1074
321.1783,36.4377
73.5193,28.7528
323.3853,44.0735
294.2282,-16.1797
22.3228,48.7966
180.9335,57.2049
350.1484,52.5384
25.3051,53.3858
57.9729,54.1647
349.0164,47.6756
341.9767,33.3714
285.5580,26.6863
351.2796,53.4808
186.0405,-18.1386
245.1804,-14.0669
296.8574,14.4587
27.7596,54.6632
6.7799,55.4912
296.7965,22.7413
101.8576,21.2555
321.6413,0.3299
207.2285,-22.7174
106.0590,18.5571
103.9727,36.6592
295.0540,-10.0128
343.9872,57.5134
325.9091,55.3743
312.4090,8.3184
153.5259,46.4503
289.4889,-13.8247
290.0619,38.3822
302.0238,51.7897
2.7566,40.5072
337.7517,40.2469
184.6708,-6.3389
26.1712,53.9090
316.9695,35.6042
308.5652,33.3826
316.6614,48.7669
261.4495,25.3955
331.6127,52.9924
330.8083,40.0839
73.0486,51.2250
84.3999,33.0973
287.2482,19.4337
30.7312,48.3117
115.6823,6.3597
86.0599,15.1341
294.7476,36.2304
343.4356,50.9446
292.3535,-7.3900
304.9156,50.8229
146.6982,-17.8268
59.4772,34.7482
73.9603,58.0523
10.6613,38.4911
344.9542,53.1123
262.1372,3.0295
38.4415,45.9085
78.6533,69.7895
324.2475,22.8548
327.4361,44.9090
36.5106,45.5157
75.5378,8.2305
299.6689,41.8990
327.1517,46.8588
278.1898,9.6423
63.0463,46.2769
84.2694,32.7036
39.3984,39.6368
66.9494,44.7422
103.8186,7.7626
108.5046,0.8405
279.8533,32.3539
53.3069,45.9763
100.5391,-11.2727
105.8197,-4.0895
291.8534,33.0526
309.7671,-1.0313
274.9209,-6.7178
264.9247,4.2175
318.6466,35.4432
310.7133,-16.6386
326.2977,33.1642
300.8754,4.2085
194.3040,-11.2171
320.2901,13.2510
95.4403,38.4569
33.1778,46.4649
287.5752,-7.0046
346.6329,38.1101
256.6882,21.9130
290.2451,42.1552
313.6078,43.9727
286.7443,32.4600
264.8400,55.7382
145.8067,35.6673
338.7183,51.8648
303.8960,36.7890
68.6654,68.5108
270.4229,7.1722
273.1165,10.2138
345.3207,43.3133
299.0242,14.0396
359.7613,57.0936
31.5539,50.8534
289.2957,28.9864
