ra,dec
266.8566657,63.0465916
224.4364367,40.7279328
23.6593100,52.1044133
101.7441885,48.5143004
88.7387113,20.5223931
280.7136691,33.9470991
160.9858670,58.1254548
313.3151461,43.7396852
334.7922498,31.5896997
192.5990609,66.9237421
291.3655621,2.7794830
33.3144912,53.6397053
82.2319711,36.3108026
292.2352199,43.0937095
33.3144866,53.6397008
327.0325016,29.6466740
298.6919850,18.6326279
270.0763118,15.2579347
19.0573767,9.3711139
341.2539682,56.5250725
71.1903818,35.4623579
247.1286761,24.0497891
33.3144866,53.6397008
285.1344914,30.5111534
155.8344695,44.0860567
354.7027724,28.3318961
268.8154215,31.9740544
205.8464053,15.1547558
150.1963942,66.9327693
336.8520727,28.7343725
53.7077985,-7.1799387
154.5542012,71.9286122
236.7196153,37.9041786
19.3015608,58.4678923
150.1963942,66.9327693
272.7566072,31.5284769
272.3649833,24.0997840
154.9468664,33.9648395
262.5348152,62.7984962
81.0180287,37.0684173
252.4599394,3.9762743
329.3185067,52.2002410
65.5634544,29.7996008
326.9100202,24.7650008
326.9100388,24.7649846
73.3203117,38.2745903
317.1415139,39.0931472
265.7739394,23.1857399
41.4316775,63.2802335
238.6272716,36.8450380
262.7592417,34.4425521
40.7225174,38.0675758
98.4284665,15.2852454
239.2371373,35.3935531
239.2371373,35.3935531
51.7580365,53.4637425
341.2540790,56.5250166
19.0573850,9.3711276
150.1963881,66.9327663
297.0602410,34.8669786
93.9330148,28.5857002
291.9521809,44.7901600
36.0476727,35.9884890
86.2091907,18.7371325
135.2664512,48.1530180
326.9100388,24.7649846
314.8872022,-9.2711390
293.9894104,11.0911926
23.5891974,-20.0761524
297.0971000,36.4397479
188.1073674,14.3449582
279.4451760,6.3128975
198.8100807,42.7957356
205.2168650,15.2280492
269.1391072,57.4908080
295.0673343,46.5466563
194.6342591,26.0183224
266.7035632,19.7957373
296.8752235,48.1549301
133.4343243,57.8112262
22.1520857,53.4748330
69.6212160,0.6710671
60.6301845,57.1969656
87.4786073,20.2943855
65.5634544,29.7996008
239.2371434,35.3935509
194.7738892,24.4425395
236.4370709,44.4750143
284.5464202,46.4656888
310.9982628,42.0570992
146.5268211,67.2069790
283.2531608,45.4523026
275.3438119,61.8153426
73.8654761,38.9831160
30.8634236,32.9348289
80.9657042,1.0085546
281.1120525,36.8611821
41.4316775,63.2802335
154.5542012,71.9286122
2.2955465,30.0522972
