ra,dec
312.7099655363757,44.836540725881186
313.49350340688306,44.54305795713624
313.3430529515253,44.647931427049905
312.76289490947937,44.40076132666685
313.76259600948583,44.18112215981157
313.11680283929536,44.05861394172086
313.56699484966947,44.40291592301878
312.7287237613243,44.38283520549869
313.5959319846104,44.3209265814808
313.76662345958664,44.74070007403486
312.83106326015115,44.325146090175686
314.1945193774256,43.767239662532866
314.5450978433306,43.885607658494436
313.063094833578,43.502067898891696
312.6557508284225,44.34805504775345
312.916507636757,44.553945873148145
313.4279200391176,44.06351857361957
313.6121692637456,44.79805822787978
313.40262665227465,44.66467215720368
312.63467375634264,44.43817851699804
314.5397046059057,44.184086431611995
312.1200287972347,44.403194018955965
313.4896617057508,44.342379395681846
313.57383253288066,44.811134999192745
312.9943655202102,44.2490878988824
314.2148785903454,43.38047442503331
312.6543514096502,44.30684138979343
312.78730191056013,44.27831364345297
313.25749878643944,44.31827220058873
312.7234562095467,44.40844658880434
312.83581316745375,44.342285888519115
312.75123585817425,44.410094107931116
313.2877317325571,44.50295916225333
312.2990627247952,44.209140069320284
312.6154861844204,44.39139410498164
313.2637373528789,44.663571185242866
312.7537272945984,44.530465728732146
314.5817321920033,43.89846388188703
312.34681680905624,44.57699362853485
313.2076249187297,44.317265273447205
312.82599171691106,44.21892964524781
313.41729718195745,44.17929426247285
313.6231402254145,44.75750335500434
312.8444553863257,44.3521006870259
313.3769366489555,44.445401246216534
312.8106511817742,44.22717526035429
312.9246367931808,44.26892642828634
312.6685306707504,44.339344334403286
313.68607457615644,44.52895151743057
312.95230917862733,44.088782803535345
313.0539040561621,44.34816854948304
312.8072667450728,44.37366095322359
313.09385664703177,44.23337851243401
314.3612272648295,43.59153144981275
312.9135525014715,44.40778696773347
314.0487983814546,44.18196083626438
312.7565367275058,44.26166089652195
314.62700181220225,43.90262235999385
313.0767383034075,44.27513466759154
313.4077230134428,44.405784683179455
312.80038267902404,44.313240837133534
312.7737481103964,44.2756174992443
313.00072099191436,44.333053725436564
312.6678481482751,44.51358919827957
313.0565416594131,43.677474814002274
313.6900622847246,44.52697728864731
312.70038599475987,44.56016414568739
314.80322628703317,44.2741206966779
313.5365549737283,44.503181058530046
312.9884250111627,44.03779365337419
312.60242541317564,44.92092749329559
313.4822098612072,42.75857157120715
312.7693628453087,44.3972432622505
313.38076414721843,44.2262346869474
314.53692232894724,43.783272613953606
314.59855597445545,43.882055000647505
312.8904299532222,44.17068994339685
312.74588223129325,44.33173518582862
312.7190342985914,44.27888878470984
312.777638321121,44.361312210949386
314.020203173375,44.58231171364184
313.11151769035183,44.285138743533935
312.81884032151413,44.3827735529161
314.6652178869925,43.71918620169887
312.8690904291109,44.2625428298529
312.9531889678755,44.39470490406047
313.30835291416764,44.216048994754495
314.5254813603184,43.883630729713374
312.8025823261458,44.31261411198452
313.011144384048,44.45799695989046
312.8624501704055,44.22094146912779
312.922569534802,44.251955561685
313.3967863782052,44.281289838825465
312.7561119042319,44.259557343227584
312.1369366609665,44.199896751032334
312.7309994942258,44.2960874126181
312.21539449689067,43.85037700947687
313.60174372573124,44.80487816338861
314.2669830495015,44.63076131524417
313.2187268777803,44.240317136194896
