ra,dec
314.1841,49.4308
294.4199,16.7264
303.4146,41.1056
270.0020,-14.7419
123.3025,-17.6589
291.8918,11.8352
298.1548,26.9309
287.5138,40.6706
280.3837,-17.8727
120.1316,-7.3765
300.2275,37.5912
284.4552,-1.1826
288.3895,19.0294
296.5447,17.9834
276.0844,2.0685
74.7165,16.9070
267.4425,-16.4545
257.4475,-18.2388
301.3582,26.8575
280.3369,-11.5434
302.9883,12.8503
290.1824,2.9048
288.2934,5.2660
305.4112,7.4845
287.0229,2.7523
278.2241,0.5880
298.7771,15.6571
296.3035,-0.7933
290.3925,4.9786
290.3267,7.6534
292.5881,9.0207
9.9709,67.2261
283.3518,-14.6769
0.0172,57.1047
29.7133,40.6225
61.8656,56.1629
82.8611,35.1729
103.3815,1.4621
150.5103,52.8775
257.2583,-12.1561
264.0433,-13.3058
267.4190,-18.5540
269.8354,-16.9006
272.9007,-5.5644
276.2542,-9.4198
278.5033,-6.5561
280.4202,-18.5510
281.9503,-15.3235
283.5542,-0.8342
285.0917,10.2185
286.5718,-6.1520
288.0296,3.0534
289.6481,20.5894
291.2963,8.2251
292.7492,25.0335
294.1288,26.8685
295.4482,35.2890
296.9998,-4.3764
298.5985,8.0050
300.6469,15.7178
303.3537,39.5888
307.2253,52.5497
312.8712,31.7582
320.3235,56.5225
330.5486,44.4935
346.9013,23.7824
263.8096,-19.9957
266.4840,-18.8572
261.7033,-17.6509
251.0205,-16.2895
261.7141,-14.8141
289.7053,-13.1115
281.8808,-11.1524
292.0301,-9.1405
282.2649,-6.9132
273.3114,-4.8064
283.5993,-2.0080
294.6332,0.6297
288.8289,3.4453
290.7556,6.3093
290.2214,9.1672
281.0731,11.3049
285.6342,13.6151
274.2426,15.9885
72.3848,18.4108
294.7026,20.8094
286.2526,23.1749
296.7276,25.7664
273.8721,28.1745
293.8501,30.5892
299.9614,33.2221
343.0339,36.4225
318.7218,40.3969
17.6268,45.1032
334.6218,49.1886
12.0417,53.5669
333.4932,57.8037
357.7484,62.1449
9.1524,68.0221
